id,name,public|private,idsRapport,sectors,province
356,Association of Canadian Port Authorities (ACPA),private,['437033'],"['Climate', 'Economic Development', 'Energy', 'Environment', 'Regional Development']",ON
357,Greengate Power Corporation,private,"['431123', '431691', '435350', '439447', '439450', '439453', '464409', '463234']","['Climate', 'Energy', 'Environment', 'Economic Development']",AB
358,Private Forest Landowners Association,private,"['428591', '455775', '455785']","['Climate', 'Environment', 'Fisheries', 'Forestry']",BC
359,Equispheres,private,['439259'],"['Climate', 'Economic Development', 'Industry', 'Research and Development']",ON
360,Athabasca Chipewyan First Nation,private,"['462545', '462547', '462552', '449594', '462767', '462769', '462727', '462729']","['Aboriginal Affairs', 'Climate', 'Health', 'Infrastructure', 'Mining', 'Education']",AB
361,General Fusion Inc,private,"['431513', '431514', '431515', '431516', '431517', '431518', '431519', '431521', '431522', '432204', '432206', '432658', '432659', '437617', '437621', '437626', '437629', '438702', '438706', '450496', '450498']","['Climate', 'Economic Development', 'Employment and Training', 'Energy', 'Research and Development', 'Industry']",BC
362,Ecostrat Inc.,private,['468591'],"['Agriculture', 'Climate', 'Energy', 'Environment', 'Forestry', 'Government Procurement', 'Industry', 'Research and Development', 'Science and Technology']",ON
363,BHP Canada Inc.,private,['431842'],"['Mining', 'Industry', 'Climate']",SK
364,Shared Services Canada (SSC),public,['455069'],[],
365,Mohawk College,private,['431788'],"['Climate', 'Environment']",ON
366,Deltro Group Ltd,private,"['442646', '442651', '442653', '442654', '451718', '442643']","['International Trade', 'Economic Development', 'Energy', 'International Development', 'Industry', 'International Relations', 'Climate']",ON
367,Alberta Ecotrust Foundation on behalf of Trottier Family Foundation,private,"['435162', '435164', '438448', '443558', '445114']","['Budget', 'Climate', 'Economic Development', 'Municipalities']",AB
368,Rockport Networks Inc.,private,['445881'],"['Economic Development', 'Research and Development', 'Climate', 'Telecommunications']",ON
369,Canadian Solar,private,"['440305', '436748', '436750', '440300', '440302', '440303', '440304', '440306', '440307', '440308']","['Agriculture', 'Climate', 'Defence', 'Economic Development', 'Energy', 'Environment', 'Government Procurement', 'Industry', 'Infrastructure', 'International Trade', 'Municipalities', 'Regional Development', 'Taxation and Finance']",ON
370,Stswecem'c Xgat'tem,private,"['456067', '456066']","['Aboriginal Affairs', 'Environment', 'Climate']",BC
371,Electricity Distributors Association,private,"['434267', '434268', '450868', '450869', '450870', '458933', '458934', '458935']","['Climate', 'Energy', 'Environment', 'Transportation']",ON
372,Pembina Pipeline Corporation,private,"['441752', '467349', '467350']","['Climate', 'Energy', 'Environment']",AB
373,HEC Montreal,private,['466766'],"['Climate', 'Economic Development', 'Education', 'Employment and Training', 'Environment', 'Research and Development', 'Science and Technology']",QC
374,ArcelorMittal Dofasco G.P.,private,['461199'],"['Climate', 'Environment']",ON
375,Woodfibre LNG,private,"['454402', '454403', '454405', '454502', '454504', '454508', '454509', '454515', '463144', '463145']","['International Trade', 'Climate', 'Employment and Training', 'Energy', 'Industry', 'Infrastructure']",BC
376,TIU Canada,private,['450985'],"['Climate', 'Energy', 'International Development', 'International Trade']",International
377,Oxfam Canada,private,['449606'],"['Health', 'Financial Institutions', 'Aboriginal Affairs', 'Economic Development', 'Budget', 'Agriculture', 'Taxation and Finance', 'International Development', 'Labour', 'Climate', 'Immigration', 'Defence', 'Environment', 'International Trade', 'International Relations']",ON
378,Simon Fraser University,private,['440503'],"['International Development', 'Climate']",BC
379,Walker Environmental Group Inc.,private,"['437415', '437416', '437417', '437418']","['Climate', 'Economic Development', 'Environment', 'Industry']",ON
380,Semiahmoo First Nation,private,"['466330', '466314']","['Aboriginal Affairs', 'Climate', 'Economic Development', 'Energy', 'Environment', 'Infrastructure', 'Science and Technology']",BC
381,Gazoduq inc.,private,"['460198', '460492', '461823', '461824', '461825', '465333', '467268', '462653', '467266', '463312']","['Aboriginal Affairs', 'Climate', 'Energy', 'Environment']",QC
382,Impact Assessment Agency of Canada (IAAC),public,"['460492', '465333']",[],
383,Canadian Energy Regulator (CER),public,"['460492', '465333']",[],
384,ARLANXEO Canada Inc.,private,['442566'],"['Climate', 'Energy', 'Environment', 'Industry', 'International Trade', 'Taxation and Finance']",ON
385,CLEAResult,private,"['439879', '439881', '450867', '468621', '468622', '468618', '468619', '468620']","['Climate', 'Energy', 'Environment', 'Government Procurement']",ON
386,Canadian Medical Association,private,['443010'],"['Climate', 'Health']",ON
387,Montreal Aquarium Group,private,"['443217', '444278', '443553', '443562']","['Arts and Culture', 'Climate', 'Economic Development']",QC
388,Tristan Goodman EPAC Explorers Producers Association of Canada,private,['443715'],"['Climate', 'Energy']",AB
389,Montreal Arctic Group,private,"['443323', '443324', '443322', '444559']","['Arts and Culture', 'Science and Technology', 'Environment', 'Climate', 'Tourism', 'Economic Development']",QC
390,Teekay Shipping (Canada) Ltd.,private,"['446990', '446991', '446992', '446993', '446995', '446996', '446997', '454727', '462407', '462409', '462410', '456304', '456306', '456310']","['Climate', 'Economic Development', 'Employment and Training', 'Energy', 'Environment', 'Fisheries', 'Industry', 'Infrastructure', 'Transportation']",BC
391,Nutrien Ltd.,private,"['448727', '462966']","['Climate', 'Environment', 'International Trade', 'Mining']",SK
392,EDF Renewables Development Inc.,private,['448157'],"['Climate', 'Energy', 'Environment', 'Government Procurement']",QC
393,African Development Bank,private,"['446013', '446016', '446023', '464042', '464044']","['Climate', 'Environment', 'International Development']",International
394,Association of Iroquois and Allied Indians,private,"['449220', '449227', '449229', '449231', '449232', '449234']","['Aboriginal Affairs', 'Environment', 'Climate']",ON
395,Total E&P Canada Ltd,private,"['449285', '466824']","['Environment', 'Infrastructure', 'Industry', 'Taxation and Finance', 'Energy', 'Climate', 'Research and Development', 'International Development', 'Economic Development']",AB
396,"SWITCH, the Alliance for a Green Economy",private,"['453190', '453192', '453194', '453196', '456552', '456553']","['Climate', 'Economic Development', 'Energy', 'Environment', 'Financial Institutions', 'Industry', 'Transportation']",QC
397,Enerkem Inc.,private,"['452777', '455789', '455792', '461983']","['Energy', 'Industry', 'Climate', 'Economic Development', 'Environment', 'Infrastructure', 'Science and Technology', 'Research and Development']",QC
398,"Heico 2004 Member, Inc.",private,"['466529', '466536', '466566', '466570', '466602', '466604', '466615', '466618']","['Environment', 'International Trade', 'Climate', 'Industry', 'Science and Technology']",ON
399,City of Guelph,private,"['454415', '454416', '454417', '454418']","['Agriculture', 'Climate', 'Economic Development', 'Environment', 'Health', 'Industry', 'Regional Development', 'Science and Technology', 'Small Business']",ON
400,Canadian Society of Landscape Architects,private,"['456256', '456257', '456258', '458489']","['Aboriginal Affairs', 'Climate', 'Environment']",ON
401,Camping In Ontario,private,"['458571', '459165']","['Economic Development', 'Industry', 'Small Business', 'Tourism', 'Climate', 'Environment', 'Infrastructure', 'Elections']",ON
402,Canadian Union of Public Employees,private,['457606'],['Climate'],ON
403,Enel Green Power Canada,private,"['458300', '458301', '458975', '459014', '459015', '459016', '466410', '466412', '466420', '466423', '466425']","['Climate', 'Energy']",QC
404,Public Prosecution Service of Canada (PPSC),public,['466420'],[],
405,"Gavi, the Vaccine Alliance",private,['463937'],"['Health', 'Research and Development', 'International Development', 'Climate']",International
406,Public Health Agency of Canada (PHAC),public,['463937'],[],
407,Vancouver City Savings Credit Union,private,['465395'],"['Taxation and Finance', 'Climate']",BC
408,The Home Depot,private,['461864'],"['Consumer Issues', 'Environment', 'Climate']",ON
409,The Biofuel Project,private,"['460851', '461241', '461242', '461635']","['Climate', 'Energy']",SK
410,Moltex Energy Canada Inc.,private,"['461806', '461807', '461809', '461810', '461811', '465630', '465631', '465632', '465633', '465634']","['Climate', 'Economic Development', 'Energy', 'Infrastructure', 'International Relations', 'Regional Development', 'Research and Development', 'Science and Technology']",NB
411,Gazoduq Inc.,private,['461898'],"['Aboriginal Affairs', 'Climate', 'Economic Development', 'Energy', 'Environment', 'Forestry', 'Industry', 'Infrastructure', 'International Trade', 'Regional Development']",QC
412,Anbaric Management Canada Inc.,private,"['464074', '464084', '465090', '467888', '467901', '467911', '468227']","['Aboriginal Affairs', 'Climate', 'Economic Development', 'Energy', 'Environment', 'Industry', 'Infrastructure', 'Regional Development', 'Telecommunications']",QC
413,Intact Financial Corporation,private,['465106'],"['Climate', 'Environment']",ON
414,Microsoft Canada Inc.,private,"['465015', '465016', '465017']","['Climate', 'Environment']",ON
415,Barclays,private,"['465371', '465372']",['Climate'],International
