id,name,public|private,idsRapport,sectors,province
238,Terramera Inc,private,['380097'],"['Science and Technology', 'Climate', 'Environment']",BC
239,Canadian Construction Innovations,private,"['391189', '391193', '391196', '391198', '378738', '378741', '378742', '378743', '378904', '378920', '378922', '391638', '394588', '395538', '387043', '389788']","['Budget', 'Climate', 'Energy', 'Research and Development']",ON
240,Saskatoon Transportation Link Ltd.,private,"['373452', '373453', '373454', '373455', '373456', '373457', '373458', '373459', '373460']","['Agriculture', 'Climate', 'Economic Development', 'Environment', 'Financial Institutions', 'Government Procurement', 'Industry', 'Infrastructure', 'Regional Development', 'Research and Development', 'Small Business', 'Taxation and Finance', 'Transportation']",SK
241,Canadian Transportation Agency (CTA),public,['373458'],[],
242,Trans Mountain Corporation,private,"['382514', '382520']","['Climate', 'Energy', 'Environment', 'Infrastructure']",AB
243,Natural Resources Defense Council,private,"['377539', '377540', '401263', '420780', '420782', '420784', '420785']","['Climate', 'Energy']",DC
244,The Toronto-Dominion Bank,private,['374860'],['Climate'],ON
245,Action Against Hunger Canada,private,['374337'],"['Climate', 'Health', 'International Development']",ON
246,Canadian Institute of Plumbing and Heating,private,['454414'],"['Climate', 'Economic Development', 'Employment and Training', 'Environment', 'Industry', 'Infrastructure', 'International Trade', 'Small Business']",ON
247,Co-operatives & Mutuals Canada,private,['440584'],"['Budget', 'Economic Development', 'Housing', 'Small Business', 'Aboriginal Affairs', 'Climate']",ON
248,FortisBC,private,"['374761', '377527', '377528', '377530', '378268', '378269', '378270', '378289', '383444', '383445', '386631', '386745']","['Climate', 'Energy', 'Environment']",BC
249,Carbon Engineering,private,"['375219', '375220', '375221', '375341', '380336', '380340', '380341', '380380', '380386', '380388', '380390', '380392']","['Climate', 'Energy', 'Environment']",AB
250,Friends of the Greenbelt Foundation,private,"['383641', '383979', '385625', '385655', '385660', '385663', '391966', '383173', '385225', '385227', '385232', '385237', '385239', '387726', '387741', '389705', '392564']","['Agriculture', 'Climate']",ON
251,Terrestrial Energy Inc.,private,"['382890', '439304', '451030', '453900', '448315']","['Climate', 'Energy', 'Environment']",ON
252,International Boreal Conservation Campaign (via contract with Ducks Unlimited Canada),private,"['379063', '379065', '379067', '379071']","['Aboriginal Affairs', 'Economic Development', 'Environment', 'Budget', 'Climate', 'Employment and Training', 'Tourism']",AB
253,International Boreal Conservation Campaign,private,"['379051', '379055', '452004']","['Aboriginal Affairs', 'Economic Development', 'Environment', 'Budget', 'Climate', 'Employment and Training', 'Tourism']",AB
254,"Covanta Burnaby Renewable Energy, ULC",private,"['380121', '380122', '380123', '380124', '391831', '391832', '391834', '405515', '405523', '411357', '388773', '388775', '388776', '389630', '389631', '389632']","['Climate', 'Energy', 'Science and Technology']",BC
255,MasonryWorx,private,"['411856', '411857', '411858', '411859']","['Climate', 'Infrastructure', 'Research and Development']",ON
256,NEBC Resource Municipalities Coalition,private,"['377485', '377486', '377487', '377488', '377489']","['Climate', 'Economic Development', 'Energy', 'Environment', 'Industry']",BC
257,Canada Green Building Council,private,"['384494', '384496', '384500', '385276', '385312', '407377', '384894', '384897', '384919', '384920', '385621', '385629', '385641', '385650', '392858', '392859', '396267', '396284', '401003', '403615', '405249', '405257', '412403', '418141', '444043', '450718', '459234', '463423', '387995', '390931', '392456', '394404', '405261', '407965', '407966', '412402', '419601', '422673', '423423', '450713', '450728', '456743', '459236', '459237', '442889', '442890']","['Climate', 'Energy', 'Environment', 'Government Procurement', 'Industry', 'Infrastructure']",ON
258,ALUS Canada,private,"['375146', '375147', '375148', '376506', '383052', '384019', '389061', '392341', '392970', '393234', '395252', '401266', '401671', '404890', '408211', '410520', '417337', '419492', '423939', '432459', '432735', '436583', '440294', '440295', '456214', '456218', '457862', '460741', '460885', '460886', '461006', '461098', '462102', '462104', '462105', '462108', '462828', '462833', '462834', '462837', '463132', '463136', '463138', '463210', '465352', '465354', '398116']","['Agriculture', 'Climate', 'Environment', 'Infrastructure']",ON
259,Great Lakes and St. Lawrence Cities Initiative,private,['387284'],"['Environment', 'Infrastructure', 'Transportation', 'Economic Development', 'Climate']",IL
260,"REPSOL, SA",private,['403302'],"['Climate', 'Energy', 'Environment']",International
261,Council of Canadian Innovators,private,"['410049', '403779', '438902', '410042', '416102', '396318', '399043', '399046', '399049', '399052']","['Government Procurement', 'Economic Development', 'Climate', 'Energy']",ON
262,Evok Innovations,private,"['377515', '377516']","['Budget', 'Climate']",BC
263,Manulife Financial Corporation,private,"['399724', '399727', '399729']","['Infrastructure', 'Environment', 'Climate']",ON
264,Mosaic,private,"['385383', '415787', '403698', '403700', '415783']","['Agriculture', 'Climate', 'Environment']",MN
265,Alberta Wheat Commission,private,"['401389', '401390', '468522', '468531', '468532', '468534', '468536', '468528', '468541']","['Environment', 'International Trade', 'Research and Development', 'Transportation', 'Agriculture', 'Health', 'Budget', 'Climate', 'Taxation and Finance']",AB
266,Association of Canadian Port Authorities,private,['445268'],"['Environment', 'Climate', 'Transportation', 'Internal Trade', 'International Trade']",ON
267,Nature United,private,"['435990', '431049']","['Aboriginal Affairs', 'Climate', 'Environment']",ON
268,TNC Canada,private,"['397677', '396781']","['Aboriginal Affairs', 'Climate', 'Environment']",ON
269,The Atmospheric Fund,private,"['383160', '383182', '383183', '387730', '387735', '387739', '387742', '389713', '389719', '392547', '392574', '393712', '396231', '396248', '428398', '432066']","['Climate', 'Economic Development', 'Energy', 'Budget', 'Housing', 'Infrastructure']",ON
270,Dominion Diamond Corporation,private,"['392006', '404336', '404337', '404338']","['Aboriginal Affairs', 'Economic Development', 'Mining', 'Transportation', 'Climate', 'Infrastructure', 'Regional Development']",NT
271,Energy Storage Canada,private,"['381785', '381786', '381787', '418483', '432737', '432738', '449795', '460948', '462106', '462109', '462832', '462836', '462839', '462843', '462916', '463134', '463137', '463139', '463209', '463733', '384016', '386167', '392971', '422771', '424610', '425231', '431404', '436749', '444137', '444399', '460745', '460840', '460871', '460949', '461008', '461101', '462103', '465351', '465353']","['Aboriginal Affairs', 'Climate', 'Energy', 'Environment', 'Government Procurement', 'Infrastructure', 'International Trade', 'Taxation and Finance']",ON
272,Canadian Canola Growers Association,private,"['424883', '424901', '395768', '411921', '424899', '440647', '442746']","['Agriculture', 'Climate', 'International Trade', 'Transportation']",MB
273,Alectra Corporation,private,"['450486', '450559']","['Energy', 'Environment', 'Economic Development', 'Climate', 'Regional Development', 'Research and Development', 'Science and Technology']",ON
274,TELUS Corporation,private,['382780'],"['Climate', 'Environment']",BC
275,S2E Technologies Inc.,private,"['383681', '393005', '393006', '393007', '393008', '405595', '405598', '425929', '467821']","['Climate', 'Energy', 'Environment', 'International Development', 'Science and Technology', 'Small Business']",ON
276,CircuitMeter,private,"['384015', '392343', '393233', '395334']","['Climate', 'Economic Development', 'Energy', 'Environment']",ON
277,Carleton University,private,['459620'],"['Science and Technology', 'Energy', 'Climate', 'Environment']",ON
278,Nisga'a Nation,private,"['384520', '395762']","['Aboriginal Affairs', 'Economic Development', 'Energy', 'Climate', 'Environment']",BC
279,The Canadian Geothermal Energy Association (CanGEA),private,"['386475', '386785', '395130']","['Climate', 'Economic Development', 'Energy', 'Environment', 'Industry', 'Infrastructure', 'Regional Development', 'Taxation and Finance']",AB
280,Alcoa Canada Co.,private,"['431787', '439780', '439782', '439790', '439791', '439792', '439793']","['Environnement', 'Commerce international', 'Infrastructure', 'Economic Development', 'Industry', 'Climate']",QC
281,Newmont Goldcorp North America,private,"['387017', '387018', '387021', '387022', '401211', '401213', '408322', '443327']","['Mining', 'Employment and Training', 'Economic Development', 'Aboriginal Affairs', 'Climate', 'Environment']",BC
282,U-Battery Consortium via a contract with URENCO,private,"['388860', '388861', '388862', '388864', '395450', '395451', '395453', '395455', '402775', '410461', '410547', '411744', '388859', '446429', '446430', '446431', '446466']","['Aboriginal Affairs', 'Industry', 'Regional Development', 'Economic Development', 'Climate', 'Energy', 'Environment', 'Science and Technology', 'Research and Development']",International
283,Domtar Inc.,private,"['411502', '420672', '427565', '441510', '441570', '441572', '441574', '441582', '447337', '454959', '457016']","['Climate', 'Environment', 'Forestry']",QC
284,Sustainability CoLab,private,"['389315', '389344', '389345', '389375', '389376', '389377', '389378', '389380', '389389', '392855', '392860', '392861', '394310', '396928', '399148', '400203', '400220', '406131', '406132', '406133', '411113', '411114', '421347', '432446', '432448', '432449', '432450', '433759', '433761', '434882', '434883', '442540', '442547', '389343']","['Environment', 'Climate', 'Economic Development', 'Energy', 'Municipalities']",ON
285,Atlantic Canada Opportunities Agency (ACOA),public,"['389380', '443040']",[],
286,Business Development Bank of Canada (BDC),public,"['392855', '423423']",[],
287,Inter Pipeline Ltd.,private,"['433827', '443117', '443118']","['Climate', 'Environment']",AB
288,,private,"['389412', '393991', '465824', '445041', '445703', '447576', '456354', '468431', '468436', '468439', '468445', '468452']","['Climat', 'Environnement']",QC
289,ONE Global (Canada),private,['466245'],"['Climate', 'Health', 'International Development']",ON
290,"Canadian Solar (USA), Inc.",private,"['393143', '393144', '393145', '393146', '393147', '393148', '393149']","['Climat', 'Développement économique', 'Énergie', 'Environnement', 'Institutions financières']",CA
291,Habitat for Humanity Canada,private,['391999'],"['Aboriginal Affairs', 'Climate', 'Housing', 'Infrastructure', 'Taxation and Finance']",ON
292,MaRS Discovery District,private,"['401990', '401992']",['Climate'],ON
293,Goldcorp Inc,private,['395387'],"['Mining', 'International Trade', 'Climate', 'Aboriginal Affairs', 'Environment', 'Industry', 'Employment and Training', 'Economic Development']",BC
294,EcoJustice,private,"['393235', '395335', '398115', '398124', '399637', '401668', '404889', '408210', '408572', '411671', '411672', '411673', '411674', '411675', '411818', '417215', '419493', '422495', '423187', '424608', '425233', '425234', '427013', '427014', '427015', '460744', '460889', '460890', '461100', '462107', '462829', '463208', '463601', '465350', '395249', '418482', '427197', '427198', '431402', '431403', '431635', '436294', '436585', '456219', '460839', '460849', '460870', '461005', '462842']","['Aboriginal Affairs', 'Climate', 'Energy', 'Environment', 'Fisheries']",BC
295,Sustainable Waterloo Region,private,"['395497', '398233', '408209', '408212', '408216', '408219', '419007', '419008', '419009', '419010', '419011', '422967', '420189']","['Climate', 'Economic Development', 'Environment']",ON
296,West Coast Environmental Law Association,private,"['397430', '397433', '397437', '397440', '399150', '446898', '453719', '455662']","['Aboriginal Affairs', 'Budget', 'Climate', 'Environment', 'Fisheries']",BC
297,Canadian Oilseed Processors Association,private,"['404333', '404334', '404335']","['Agriculture', 'Climate', 'Environment']",MB
298,Coca-Cola Limited,private,['438833'],"['Economic Development', 'Health', 'Environment', 'Agriculture', 'Climate']",ON
299,Status of Women Canada (SWC),public,['438833'],[],
300,Canadian Solar Industries Association,private,"['395250', '398117', '401274', '401276', '401278', '401280', '401281', '401283', '407273', '408214', '408220', '410506', '410508', '410510', '410512', '410514', '410516', '410518', '410945', '416964', '422496', '432736', '398120', '418480', '425229', '431987', '395332', '422769', '444136', '403697', '403925', '468642']","['Aboriginal Affairs', 'Budget', 'Climate', 'Economic Development', 'Energy', 'Environment', 'Government Procurement', 'Industry', 'Infrastructure']",ON
301,KRUGER INC.,private,"['403507', '415514', '415525', '415552', '439314', '403479', '415491']","['Forestry', 'Climate', 'Labour', 'Environment']",QC
302,Advanced Biofuels Canada,private,"['395241', '395242', '398086', '399884', '399886', '403343', '403345', '404463', '406259', '406260', '406261', '409274', '409276', '409278', '412562', '412586', '415644', '420598', '430286', '432194', '432196', '434896', '434897', '434898', '438277', '442269', '442273', '442277', '442278', '442283', '442284', '442288', '442292', '445064', '447303', '447304', '447305', '449807', '449842', '452922', '452924', '452925', '456125', '456127', '457047', '457051', '458283', '458287', '458288', '459595', '461313', '463047', '463048', '463049', '463109', '463110', '463112', '463113', '463114', '463115', '463116', '466244', '466246', '466248', '466249', '466250', '466251', '466255', '466256', '466268', '466269', '466270', '429424', '461502']","['Agriculture', 'Climate', 'Economic Development', 'Energy', 'Environment', 'Forestry', 'Industry', 'Science and Technology', 'Transportation']",BC
303,BHE Canada L.P.,private,['411507'],"['Climate', 'Energy']",AB
304,Raintree Corporation,private,"['399377', '399378', '399379', '399380', '399381']","['Climat', 'Commerce international', 'Développement international', 'Environnement', 'Foresterie']",ON
305,Export Development Canada (EDC),public,['399378'],[],
306,Canadian Commercial Corporation (CCC),public,['399379'],[],
307,Tesla Motors Canada ULC,private,"['399431', '401220', '401225', '401226', '401227', '401228', '403251', '403252', '406625', '407779', '407780', '409498', '409503', '409505', '412538', '415329', '415330', '415332', '415337', '417838', '417841', '419104', '419107', '423475', '423494', '425797', '425799', '425802', '425803', '427741', '430967', '430971', '432132', '432133', '433148', '433154', '433156', '433158', '433159', '434848', '435008', '440215', '440216', '440217', '440218', '442974', '442975', '442976', '446922', '446923', '448586', '448645', '448646', '448929', '448930', '452264', '456494', '456611', '457019', '457897', '458649', '459305', '459306', '460434', '460435', '461746', '465268', '465538', '465599', '465600']","['Climate', 'Energy', 'Environment', 'Transportation']",ON
308,George Brown College,private,"['420668', '420669']","['Budget', 'Climate', 'Forestry', 'Infrastructure', 'Science and Technology']",ON
309,Geoscience BC,private,['399280'],"['Environment', 'Climate']",BC
310,North Atlantic Refinery Ltd.,private,"['402265', '402270', '406606', '408847', '408848', '430483', '430485', '430487', '430497', '443040', '465379', '465380', '465922']",['Climate'],NL
311,H2GO Canada Inc.,private,"['399921', '399922', '399923', '399924', '399925', '399926']","['Climate', 'Environment', 'Infrastructure', 'Transportation']",ON
